,index,pitax_2027,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0, 0-10n,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0
2, 0-10p,22,22,61,119,261,880,"2,209"
3, 10-20,"5,885","5,885","11,748","19,981","30,559","43,018","57,281"
4, 20-30,"38,593","38,593","52,514","68,177","85,682","105,215","126,952"
5, 30-40,"84,734","84,734","104,113","125,668","149,647","176,316","204,919"
6, 40-50,"134,419","134,416","159,272","186,889","216,414","249,873","292,796"
7, 50-60,"183,850","183,849","213,167","245,714","287,693","337,592","393,297"
8, 60-70,"253,768","252,972","295,948","346,665","403,325","466,285","536,354"
9, 70-80,"351,805","368,232","427,267","492,862","565,961","647,568","738,555"
10, 80-90,"548,822","606,297","692,628","788,911","896,203","1,015,665","1,148,679"
11, 90-100,"2,342,837","2,668,707","2,990,281","3,348,501","3,747,709","4,192,308","4,687,367"
12, ALL,"394,477","434,374","494,704","562,353","638,351","723,478","818,848"
13, 90-95,"994,794","1,143,720","1,291,843","1,456,919","1,641,912","1,849,795","2,083,087"
14, 95-99,"2,089,960","2,440,856","2,743,209","3,081,160","3,458,021","3,876,844","4,342,433"
15, Top 1%,"10,094,314","11,204,772","12,470,459","13,875,444","15,435,074","17,166,321","19,088,050"
